Amount,Average,Candidates,Chamber,District,State,Year
"$14,628","$14,628",1,State Senate,66,Minnesota,2008
"$48,903","$24,452",2,State Senate,66,Minnesota,2006
"$10,811","$10,811",1,State Senate,66,Minnesota,2004
"$29,200","$14,600",2,State Senate,66,Minnesota,2002
"$28,580","$14,290",2,State Senate,66,Minnesota,2000
"$279,742","$19,982",14,State Senate,66,Minnesota,Total
"$164,973","$82,487",2,State Senate,67,Minnesota,2016
"$83,281","$16,656",5,State Senate,67,Minnesota,2012
"$124,917","$11,356",11,State Senate,67,Minnesota,2010
"$22,597","$22,597",1,State Senate,67,Minnesota,2008
"$73,314","$24,438",3,State Senate,67,Minnesota,2006
"$27,135","$27,135",1,State Senate,67,Minnesota,2004
"$75,569","$37,785",2,State Senate,67,Minnesota,2002
"$38,445","$38,445",1,State Senate,67,Minnesota,2000
"$610,231","$23,470",26,State Senate,67,Minnesota,Total
"$131,072","$43,691",3,State Senate,1,Mississippi,2019
"$69,164","$69,164",1,State Senate,1,Mississippi,2011
"$33,537","$33,537",1,State Senate,1,Mississippi,2007
"$49,887","$24,944",2,State Senate,1,Mississippi,2003
"$283,660","$40,523",7,State Senate,1,Mississippi,Total
"$85,393","$42,696",2,State Senate,2,Mississippi,2019
"$34,232","$17,116",2,State Senate,2,Mississippi,2011
"$277,354","$55,471",5,State Senate,2,Mississippi,2007
"$25,807","$5,161",5,State Senate,2,Mississippi,2003
"$422,786","$30,199",14,State Senate,2,Mississippi,Total
"$81,311","$16,262",5,State Senate,3,Mississippi,2019
"$95,184","$47,592",2,State Senate,3,Mississippi,2011
"$16,131","$16,131",1,State Senate,3,Mississippi,2007
"$64,349","$12,870",5,State Senate,3,Mississippi,2003
"$256,975","$19,767",13,State Senate,3,Mississippi,Total
"$150,939","$50,313",3,State Senate,4,Mississippi,2019
"$121,435","$60,718",2,State Senate,4,Mississippi,2011
"$127,240","$21,207",6,State Senate,4,Mississippi,2007
"$180,346","$90,173",2,State Senate,4,Mississippi,2003
"$579,960","$44,612",13,State Senate,4,Mississippi,Total
"$149,406","$29,881",5,State Senate,5,Mississippi,2019
"$48,249","$24,125",2,State Senate,5,Mississippi,2011
"$35,232","$17,616",2,State Senate,5,Mississippi,2007
"$87,530","$29,177",3,State Senate,5,Mississippi,2003
"$320,417","$26,701",12,State Senate,5,Mississippi,Total
"$85,044","$85,044",1,State Senate,6,Mississippi,2019
"$151,608","$75,804",2,State Senate,6,Mississippi,2011
"$206,178","$103,089",2,State Senate,6,Mississippi,2007
"$76,510","$38,255",2,State Senate,6,Mississippi,2003
"$519,340","$74,191",7,State Senate,6,Mississippi,Total
"$51,294","$51,294",1,State Senate,7,Mississippi,2019
"$81,883","$40,942",2,State Senate,7,Mississippi,2011
"$72,797","$36,399",2,State Senate,7,Mississippi,2007
"$48,702","$24,351",2,State Senate,7,Mississippi,2003
"$254,676","$36,382",7,State Senate,7,Mississippi,Total
"$223,019","$37,170",6,State Senate,8,Mississippi,2019
"$164,934","$32,987",5,State Senate,8,Mississippi,2011
"$136,759","$68,380",2,State Senate,8,Mississippi,2007
"$138,703","$69,352",2,State Senate,8,Mississippi,2003
"$663,415","$44,228",15,State Senate,8,Mississippi,Total
"$243,560","$121,780",2,State Senate,9,Mississippi,2019
"$91,401","$45,701",2,State Senate,9,Mississippi,2011
"$6,200","$6,200",1,State Senate,9,Mississippi,2007
"$121,497","$60,749",2,State Senate,9,Mississippi,2003
"$462,658","$66,094",7,State Senate,9,Mississippi,Total
"$145,132","$29,026",5,State Senate,10,Mississippi,2019
"$89,164","$29,721",3,State Senate,10,Mississippi,2011
"$458,494","$152,831",3,State Senate,10,Mississippi,2007
"$30,420","$30,420",1,State Senate,10,Mississippi,2003
"$723,210","$60,267",12,State Senate,10,Mississippi,Total
"$37,077","$18,539",2,State Senate,11,Mississippi,2019
"$7,106","$7,106",1,State Senate,11,Mississippi,2011
"$13,135","$13,135",1,State Senate,11,Mississippi,2007
"$50,640","$10,128",5,State Senate,11,Mississippi,2003
"$107,958","$11,995",9,State Senate,11,Mississippi,Total
"$58,535","$29,268",2,State Senate,12,Mississippi,2019
"$28,622","$28,622",1,State Senate,12,Mississippi,2011
"$2,700","$2,700",1,State Senate,12,Mississippi,2007
"$3,800","$3,800",1,State Senate,12,Mississippi,2003
"$93,657","$18,731",5,State Senate,12,Mississippi,Total
"$132,508","$22,085",6,State Senate,13,Mississippi,2019
"$60,925","$30,463",2,State Senate,13,Mississippi,2011
"$17,975","$17,975",1,State Senate,13,Mississippi,2007
"$10,065","$5,033",2,State Senate,13,Mississippi,2003
"$221,473","$20,134",11,State Senate,13,Mississippi,Total
"$68,785","$68,785",1,State Senate,14,Mississippi,2019
"$89,071","$44,536",2,State Senate,14,Mississippi,2011
"$73,420","$73,420",1,State Senate,14,Mississippi,2007
"$102,116","$51,058",2,State Senate,14,Mississippi,2003
"$333,392","$55,565",6,State Senate,14,Mississippi,Total
"$22,000","$22,000",1,State Senate,15,Mississippi,2019
"$38,550","$38,550",1,State Senate,15,Mississippi,2011
"$9,050","$9,050",1,State Senate,15,Mississippi,2007
"$83,158","$20,790",4,State Senate,15,Mississippi,2003
"$152,758","$21,823",7,State Senate,15,Mississippi,Total
"$14,475","$14,475",1,State Senate,16,Mississippi,2019
"$7,870","$7,870",1,State Senate,16,Mississippi,2011
"$7,200","$7,200",1,State Senate,16,Mississippi,2007
"$40,973","$40,973",1,State Senate,16,Mississippi,2003
"$70,518","$17,630",4,State Senate,16,Mississippi,Total
"$55,110","$18,370",3,State Senate,17,Mississippi,2019
"$83,800","$83,800",1,State Senate,17,Mississippi,2011
"$74,900","$74,900",1,State Senate,17,Mississippi,2007
"$46,186","$15,395",3,State Senate,17,Mississippi,2003
"$259,996","$32,500",8,State Senate,17,Mississippi,Total
"$17,050","$17,050",1,State Senate,18,Mississippi,2019
"$278,692","$139,346",2,State Senate,18,Mississippi,2011
"$246,158","$123,079",2,State Senate,18,Mississippi,2007
"$126,133","$42,044",3,State Senate,18,Mississippi,2003
"$668,033","$83,504",8,State Senate,18,Mississippi,Total
"$88,545","$44,272",2,State Senate,19,Mississippi,2019
"$113,616","$113,616",1,State Senate,19,Mississippi,2011
"$338,965","$169,483",2,State Senate,19,Mississippi,2007
"$100,305","$100,305",1,State Senate,19,Mississippi,2003
"$641,431","$106,905",6,State Senate,19,Mississippi,Total
"$108,790","$108,790",1,State Senate,20,Mississippi,2019
"$507,723","$126,931",4,State Senate,20,Mississippi,2011
"$181,438","$45,360",4,State Senate,20,Mississippi,2007
"$19,430","$19,430",1,State Senate,20,Mississippi,2003
"$817,381","$81,738",10,State Senate,20,Mississippi,Total
"$15,400","$15,400",1,State Senate,21,Mississippi,2019
"$28,020","$14,010",2,State Senate,21,Mississippi,2011
"$45,330","$22,665",2,State Senate,21,Mississippi,2007
"$57,953","$9,659",6,State Senate,21,Mississippi,2003
"$146,703","$13,337",11,State Senate,21,Mississippi,Total
"$174,511","$29,085",6,State Senate,22,Mississippi,2019
"$258,705","$86,235",3,State Senate,22,Mississippi,2011
"$104,633","$52,317",2,State Senate,22,Mississippi,2007
"$59,188","$11,838",5,State Senate,22,Mississippi,2003
"$597,037","$37,315",16,State Senate,22,Mississippi,Total
"$72,355","$72,355",1,State Senate,23,Mississippi,2019
"$57,700","$57,700",1,State Senate,23,Mississippi,2011
"$170,576","$56,859",3,State Senate,23,Mississippi,2007
"$113,480","$56,740",2,State Senate,23,Mississippi,2003
"$414,111","$59,159",7,State Senate,23,Mississippi,Total
"$4,000","$4,000",1,State Senate,24,Mississippi,2019
"$12,577","$6,289",2,State Senate,24,Mississippi,2011
"$17,600","$8,800",2,State Senate,24,Mississippi,2007
"$5,550","$5,550",1,State Senate,24,Mississippi,2003
"$39,727","$6,621",6,State Senate,24,Mississippi,Total
"$132,843","$66,421",2,State Senate,25,Mississippi,2019
"$250,812","$83,604",3,State Senate,25,Mississippi,2011
"$189,429","$94,715",2,State Senate,25,Mississippi,2007
"$56,058","$56,058",1,State Senate,25,Mississippi,2003
"$629,142","$78,643",8,State Senate,25,Mississippi,Total
"$113,740","$56,870",2,State Senate,26,Mississippi,2019
"$33,230","$33,230",1,State Senate,26,Mississippi,2011
"$80,445","$20,111",4,State Senate,26,Mississippi,2007
"$6,700","$6,700",1,State Senate,26,Mississippi,2003
"$234,115","$29,264",8,State Senate,26,Mississippi,Total
"$22,350","$11,175",2,State Senate,27,Mississippi,2019
"$7,125","$7,125",1,State Senate,27,Mississippi,2011
"$8,350","$8,350",1,State Senate,27,Mississippi,2007
"$7,400","$7,400",1,State Senate,27,Mississippi,2003
"$45,225","$9,045",5,State Senate,27,Mississippi,Total
"$18,593","$18,593",1,State Senate,28,Mississippi,2019
"$5,040","$5,040",1,State Senate,28,Mississippi,2011
"$16,850","$16,850",1,State Senate,28,Mississippi,2007
"$43,259","$21,630",2,State Senate,28,Mississippi,2003
"$83,742","$16,748",5,State Senate,28,Mississippi,Total
"$88,435","$88,435",1,State Senate,29,Mississippi,2019
"$213,533","$106,767",2,State Senate,29,Mississippi,2011
"$358,334","$89,584",4,State Senate,29,Mississippi,2007
"$234,513","$78,171",3,State Senate,29,Mississippi,2003
"$894,815","$89,482",10,State Senate,29,Mississippi,Total
"$155,150","$155,150",1,State Senate,30,Mississippi,2019
"$115,737","$115,737",1,State Senate,30,Mississippi,2011
"$79,401","$79,401",1,State Senate,30,Mississippi,2007
"$120,866","$60,433",2,State Senate,30,Mississippi,2003
"$471,154","$94,231",5,State Senate,30,Mississippi,Total
"$172,216","$57,405",3,State Senate,31,Mississippi,2019
"$71,304","$23,768",3,State Senate,31,Mississippi,2011
"$133,230","$44,410",3,State Senate,31,Mississippi,2007
"$97,075","$48,538",2,State Senate,31,Mississippi,2003
"$473,825","$43,075",11,State Senate,31,Mississippi,Total
"$13,250","$13,250",1,State Senate,32,Mississippi,2011
"$44,444","$22,222",2,State Senate,32,Mississippi,2007
"$22,736","$7,579",3,State Senate,32,Mississippi,2003
"$80,430","$13,405",6,State Senate,32,Mississippi,Total
"$80,524","$40,262",2,State Senate,33,Mississippi,2019
"$26,475","$26,475",1,State Senate,33,Mississippi,2011
"$29,800","$29,800",1,State Senate,33,Mississippi,2007
"$93,920","$46,960",2,State Senate,33,Mississippi,2003
"$230,719","$38,453",6,State Senate,33,Mississippi,Total
"$110,759","$36,920",3,State Senate,34,Mississippi,2019
"$47,499","$23,750",2,State Senate,34,Mississippi,2011
"$106,648","$26,662",4,State Senate,34,Mississippi,2007
"$51,540","$17,180",3,State Senate,34,Mississippi,2003
"$316,446","$26,370",12,State Senate,34,Mississippi,Total
"$76,240","$38,120",2,State Senate,35,Mississippi,2019
"$45,100","$22,550",2,State Senate,35,Mississippi,2011
"$48,936","$16,312",3,State Senate,35,Mississippi,2007
"$55,047","$18,349",3,State Senate,35,Mississippi,2003
"$225,323","$22,532",10,State Senate,35,Mississippi,Total
"$21,471","$10,736",2,State Senate,36,Mississippi,2019
"$21,341","$21,341",1,State Senate,36,Mississippi,2011
"$136,001","$34,000",4,State Senate,36,Mississippi,2007
"$68,787","$17,197",4,State Senate,36,Mississippi,2003
"$247,600","$22,509",11,State Senate,36,Mississippi,Total
"$194,622","$38,924",5,State Senate,37,Mississippi,2019
"$157,847","$78,924",2,State Senate,37,Mississippi,2011
"$97,616","$48,808",2,State Senate,37,Mississippi,2007
"$31,200","$31,200",1,State Senate,37,Mississippi,2003
"$481,285","$48,128",10,State Senate,37,Mississippi,Total
"$36,136","$18,068",2,State Senate,38,Mississippi,2019
"$35,117","$35,117",1,State Senate,38,Mississippi,2011
"$51,633","$25,817",2,State Senate,38,Mississippi,2007
"$21,295","$10,648",2,State Senate,38,Mississippi,2003
"$144,181","$20,597",7,State Senate,38,Mississippi,Total
"$117,435","$39,145",3,State Senate,39,Mississippi,2019
"$159,005","$31,801",5,State Senate,39,Mississippi,2011
"$43,700","$43,700",1,State Senate,39,Mississippi,2007
"$24,275","$24,275",1,State Senate,39,Mississippi,2003
"$344,415","$34,441",10,State Senate,39,Mississippi,Total
"$26,460","$13,230",2,State Senate,40,Mississippi,2019
"$84,170","$28,057",3,State Senate,40,Mississippi,2011
"$38,950","$38,950",1,State Senate,40,Mississippi,2007
"$72,648","$24,216",3,State Senate,40,Mississippi,2003
"$222,228","$24,692",9,State Senate,40,Mississippi,Total
"$211,510","$211,510",1,State Senate,41,Mississippi,2019
"$55,051","$55,051",1,State Senate,41,Mississippi,2011
"$185,109","$92,555",2,State Senate,41,Mississippi,2007
"$31,450","$15,725",2,State Senate,41,Mississippi,2003
"$483,120","$80,520",6,State Senate,41,Mississippi,Total
"$3,188","$3,188",1,State Senate,42,Mississippi,2019
"$90,298","$90,298",1,State Senate,42,Mississippi,2011
"$109,829","$54,915",2,State Senate,42,Mississippi,2007
"$73,751","$14,750",5,State Senate,42,Mississippi,2003
"$277,066","$30,785",9,State Senate,42,Mississippi,Total
"$62,009","$15,502",4,State Senate,43,Mississippi,2011
"$32,150","$10,717",3,State Senate,43,Mississippi,2007
"$100,894","$25,224",4,State Senate,43,Mississippi,2003
"$195,053","$17,732",11,State Senate,43,Mississippi,Total
"$31,700","$31,700",1,State Senate,44,Mississippi,2019
"$147,993","$49,331",3,State Senate,44,Mississippi,2011
"$52,900","$52,900",1,State Senate,44,Mississippi,2007
"$8,850","$8,850",1,State Senate,44,Mississippi,2003
"$241,443","$40,241",6,State Senate,44,Mississippi,Total
"$40,800","$40,800",1,State Senate,45,Mississippi,2019
"$7,800","$7,800",1,State Senate,45,Mississippi,2011
"$208,753","$104,377",2,State Senate,45,Mississippi,2007
"$74,363","$18,591",4,State Senate,45,Mississippi,2003
"$331,716","$41,465",8,State Senate,45,Mississippi,Total
"$137,564","$68,782",2,State Senate,46,Mississippi,2019
"$71,366","$14,273",5,State Senate,46,Mississippi,2011
"$218,856","$72,952",3,State Senate,46,Mississippi,2007
"$43,312","$21,656",2,State Senate,46,Mississippi,2003
"$471,098","$39,258",12,State Senate,46,Mississippi,Total
"$66,294","$33,147",2,State Senate,47,Mississippi,2019
"$48,275","$24,138",2,State Senate,47,Mississippi,2011
"$7,750","$7,750",1,State Senate,47,Mississippi,2007
"$25,989","$12,995",2,State Senate,47,Mississippi,2003
"$148,308","$21,187",7,State Senate,47,Mississippi,Total
"$208,438","$52,109",4,State Senate,48,Mississippi,2019
"$95,387","$47,694",2,State Senate,48,Mississippi,2011
"$138,752","$69,376",2,State Senate,48,Mississippi,2007
"$271,872","$135,936",2,State Senate,48,Mississippi,2003
"$714,449","$71,445",10,State Senate,48,Mississippi,Total
"$103,595","$51,798",2,State Senate,49,Mississippi,2011
"$175,210","$175,210",1,State Senate,49,Mississippi,2007
"$74,050","$74,050",1,State Senate,49,Mississippi,2003
"$352,855","$88,214",4,State Senate,49,Mississippi,Total
"$14,737","$7,369",2,State Senate,50,Mississippi,2011
"$47,905","$23,953",2,State Senate,50,Mississippi,2007
"$3,150","$3,150",1,State Senate,50,Mississippi,2003
"$65,792","$13,158",5,State Senate,50,Mississippi,Total
"$174,025","$43,506",4,State Senate,51,Mississippi,2019
"$110,357","$110,357",1,State Senate,51,Mississippi,2011
"$337,546","$112,515",3,State Senate,51,Mississippi,2007
"$260,994","$86,998",3,State Senate,51,Mississippi,2003
"$882,922","$80,266",11,State Senate,51,Mississippi,Total
"$188,333","$188,333",1,State Senate,52,Mississippi,2019
"$92,699","$92,699",1,State Senate,52,Mississippi,2011
"$82,640","$41,320",2,State Senate,52,Mississippi,2007
"$58,125","$29,063",2,State Senate,52,Mississippi,2003
"$421,797","$70,299",6,State Senate,52,Mississippi,Total
"$27,200","$27,200",1,House of Representatives,1,Mississippi,2019
"$90,538","$45,269",2,House of Representatives,1,Mississippi,2011
"$62,173","$31,087",2,House of Representatives,1,Mississippi,2007
"$19,635","$9,818",2,House of Representatives,1,Mississippi,2003
"$199,546","$28,507",7,House of Representatives,1,Mississippi,Total
"$20,475","$20,475",1,House of Representatives,2,Mississippi,2019
"$110,447","$55,224",2,House of Representatives,2,Mississippi,2011
"$37,039","$18,520",2,House of Representatives,2,Mississippi,2007
"$5,100","$5,100",1,House of Representatives,2,Mississippi,2003
"$173,061","$28,844",6,House of Representatives,2,Mississippi,Total
"$55,434","$18,478",3,House of Representatives,3,Mississippi,2019
"$99,104","$33,035",3,House of Representatives,3,Mississippi,2011
"$228,762","$45,752",5,House of Representatives,3,Mississippi,2007
"$120,661","$60,331",2,House of Representatives,3,Mississippi,2003
"$503,961","$38,766",13,House of Representatives,3,Mississippi,Total
"$52,100","$52,100",1,House of Representatives,4,Mississippi,2019
"$64,138","$12,828",5,House of Representatives,4,Mississippi,2011
"$17,507","$8,754",2,House of Representatives,4,Mississippi,2007
"$13,781","$13,781",1,House of Representatives,4,Mississippi,2003
"$147,526","$16,392",9,House of Representatives,4,Mississippi,Total
"$19,875","$6,625",3,House of Representatives,5,Mississippi,2019
"$15,000","$15,000",1,House of Representatives,5,Mississippi,2011
"$20,990","$20,990",1,House of Representatives,5,Mississippi,2007
"$15,325","$5,108",3,House of Representatives,5,Mississippi,2003
"$71,190","$8,899",8,House of Representatives,5,Mississippi,Total
"$46,324","$23,162",2,House of Representatives,6,Mississippi,2019
"$12,120","$12,120",1,House of Representatives,6,Mississippi,2011
"$6,700","$6,700",1,House of Representatives,6,Mississippi,2007
"$62,731","$20,910",3,House of Representatives,6,Mississippi,2003
"$127,875","$18,268",7,House of Representatives,6,Mississippi,Total
"$131,886","$32,972",4,House of Representatives,7,Mississippi,2019
"$5,100","$5,100",1,House of Representatives,7,Mississippi,2011
"$6,600","$6,600",1,House of Representatives,7,Mississippi,2007
"$20,696","$20,696",1,House of Representatives,7,Mississippi,2003
"$164,282","$23,469",7,House of Representatives,7,Mississippi,Total
"$12,315","$12,315",1,House of Representatives,8,Mississippi,2011
"$17,000","$17,000",1,House of Representatives,8,Mississippi,2007
"$1,200","$1,200",1,House of Representatives,8,Mississippi,2003
"$30,515","$10,172",3,House of Representatives,8,Mississippi,Total
"$18,700","$18,700",1,House of Representatives,9,Mississippi,2019
"$1,500","$1,500",1,House of Representatives,9,Mississippi,2011
"$7,063","$3,532",2,House of Representatives,9,Mississippi,2007
"$4,500","$2,250",2,House of Representatives,9,Mississippi,2003
"$31,763","$5,294",6,House of Representatives,9,Mississippi,Total
"$16,375","$4,094",4,House of Representatives,10,Mississippi,2019
"$67,134","$16,784",4,House of Representatives,10,Mississippi,2011
"$60,567","$30,284",2,House of Representatives,10,Mississippi,2007
"$42,100","$42,100",1,House of Representatives,10,Mississippi,2003
"$186,176","$16,925",11,House of Representatives,10,Mississippi,Total
"$6,000","$6,000",1,House of Representatives,11,Mississippi,2019
"$7,395","$7,395",1,House of Representatives,11,Mississippi,2011
"$14,375","$14,375",1,House of Representatives,11,Mississippi,2007
"$11,099","$11,099",1,House of Representatives,11,Mississippi,2003
"$38,869","$9,717",4,House of Representatives,11,Mississippi,Total
"$121,447","$60,724",2,House of Representatives,12,Mississippi,2019
"$67,259","$33,630",2,House of Representatives,12,Mississippi,2011
"$67,486","$33,743",2,House of Representatives,12,Mississippi,2007
"$134,008","$67,004",2,House of Representatives,12,Mississippi,2003
"$390,200","$48,775",8,House of Representatives,12,Mississippi,Total
"$41,018","$20,509",2,House of Representatives,13,Mississippi,2019
"$47,612","$11,903",4,House of Representatives,13,Mississippi,2011
"$38,904","$19,452",2,House of Representatives,13,Mississippi,2007
"$6,400","$6,400",1,House of Representatives,13,Mississippi,2003
"$133,934","$14,882",9,House of Representatives,13,Mississippi,Total
"$28,300","$14,150",2,House of Representatives,14,Mississippi,2019
"$7,850","$7,850",1,House of Representatives,14,Mississippi,2011
"$11,800","$11,800",1,House of Representatives,14,Mississippi,2007
"$17,315","$5,772",3,House of Representatives,14,Mississippi,2003
"$65,265","$9,324",7,House of Representatives,14,Mississippi,Total
"$46,922","$23,461",2,House of Representatives,15,Mississippi,2019
"$16,661","$16,661",1,House of Representatives,15,Mississippi,2011
"$71,515","$23,838",3,House of Representatives,15,Mississippi,2007
"$30,792","$6,158",5,House of Representatives,15,Mississippi,2003
"$165,890","$15,081",11,House of Representatives,15,Mississippi,Total
"$72,780","$36,390",2,House of Representatives,16,Mississippi,2019
"$58,961","$29,481",2,House of Representatives,16,Mississippi,2011
"$101,271","$50,636",2,House of Representatives,16,Mississippi,2007
"$11,600","$11,600",1,House of Representatives,16,Mississippi,2003
"$244,612","$34,945",7,House of Representatives,16,Mississippi,Total
"$120,826","$60,413",2,House of Representatives,17,Mississippi,2019
"$19,651","$19,651",1,House of Representatives,17,Mississippi,2011
"$114,631","$38,210",3,House of Representatives,17,Mississippi,2007
"$94,032","$31,344",3,House of Representatives,17,Mississippi,2003
"$349,140","$38,793",9,House of Representatives,17,Mississippi,Total
"$33,850","$33,850",1,House of Representatives,18,Mississippi,2019
"$15,400","$15,400",1,House of Representatives,18,Mississippi,2011
"$203,616","$101,808",2,House of Representatives,18,Mississippi,2007
"$154,436","$30,887",5,House of Representatives,18,Mississippi,2003
"$407,302","$45,256",9,House of Representatives,18,Mississippi,Total
"$49,127","$24,563",2,House of Representatives,19,Mississippi,2019
"$181,578","$36,316",5,House of Representatives,19,Mississippi,2011
"$111,779","$22,356",5,House of Representatives,19,Mississippi,2007
"$203,239","$67,746",3,House of Representatives,19,Mississippi,2003
"$545,723","$36,382",15,House of Representatives,19,Mississippi,Total
$0,$0,1,House of Representatives,20,Mississippi,2019
"$124,928","$62,464",2,House of Representatives,20,Mississippi,2011
"$97,477","$32,492",3,House of Representatives,20,Mississippi,2007
"$21,219","$7,073",3,House of Representatives,20,Mississippi,2003
"$243,624","$27,069",9,House of Representatives,20,Mississippi,Total
"$50,118","$50,118",1,House of Representatives,21,Mississippi,2019
"$46,146","$46,146",1,House of Representatives,21,Mississippi,2011
"$117,828","$19,638",6,House of Representatives,21,Mississippi,2007
"$10,750","$10,750",1,House of Representatives,21,Mississippi,2003
"$224,842","$24,982",9,House of Representatives,21,Mississippi,Total
"$15,600","$7,800",2,House of Representatives,22,Mississippi,2019
"$9,950","$9,950",1,House of Representatives,22,Mississippi,2011
"$14,882","$14,882",1,House of Representatives,22,Mississippi,2007
"$20,245","$5,061",4,House of Representatives,22,Mississippi,2003
"$60,677","$7,585",8,House of Representatives,22,Mississippi,Total
"$31,200","$31,200",1,House of Representatives,23,Mississippi,2019
"$72,834","$36,417",2,House of Representatives,23,Mississippi,2011
"$115,794","$57,897",2,House of Representatives,23,Mississippi,2007
"$49,109","$12,277",4,House of Representatives,23,Mississippi,2003
"$268,937","$29,882",9,House of Representatives,23,Mississippi,Total
"$43,793","$43,793",1,House of Representatives,24,Mississippi,2019
"$151,277","$75,639",2,House of Representatives,24,Mississippi,2011
"$14,200","$14,200",1,House of Representatives,24,Mississippi,2007
"$79,107","$39,554",2,House of Representatives,24,Mississippi,2003
"$288,377","$48,063",6,House of Representatives,24,Mississippi,Total
"$58,320","$19,440",3,House of Representatives,25,Mississippi,2019
"$60,808","$30,404",2,House of Representatives,25,Mississippi,2011
"$84,273","$42,137",2,House of Representatives,25,Mississippi,2007
"$52,187","$26,094",2,House of Representatives,25,Mississippi,2003
"$255,588","$28,399",9,House of Representatives,25,Mississippi,Total
"$4,088","$4,088",1,House of Representatives,26,Mississippi,2019
"$4,700","$4,700",1,House of Representatives,26,Mississippi,2011
"$36,794","$18,397",2,House of Representatives,26,Mississippi,2007
"$29,175","$14,588",2,House of Representatives,26,Mississippi,2003
"$74,757","$12,459",6,House of Representatives,26,Mississippi,Total
"$3,750","$3,750",1,House of Representatives,27,Mississippi,2019
"$6,050","$3,025",2,House of Representatives,27,Mississippi,2011
"$14,685","$7,343",2,House of Representatives,27,Mississippi,2007
"$4,200","$4,200",1,House of Representatives,27,Mississippi,2003
"$28,685","$4,781",6,House of Representatives,27,Mississippi,Total
"$31,510","$15,755",2,House of Representatives,28,Mississippi,2019
"$76,840","$38,420",2,House of Representatives,28,Mississippi,2011
"$6,440","$6,440",1,House of Representatives,28,Mississippi,2007
"$18,000","$18,000",1,House of Representatives,28,Mississippi,2003
"$132,790","$22,132",6,House of Representatives,28,Mississippi,Total
$874,$874,1,House of Representatives,29,Mississippi,2019
"$4,402","$4,402",1,House of Representatives,29,Mississippi,2011
"$4,900","$4,900",1,House of Representatives,29,Mississippi,2007
"$7,450","$7,450",1,House of Representatives,29,Mississippi,2003
"$17,626","$4,407",4,House of Representatives,29,Mississippi,Total
"$16,400","$8,200",2,House of Representatives,30,Mississippi,2019
"$7,470","$3,735",2,House of Representatives,30,Mississippi,2011
$700,$700,1,House of Representatives,30,Mississippi,2007
"$1,750","$1,750",1,House of Representatives,30,Mississippi,2003
"$26,320","$4,387",6,House of Representatives,30,Mississippi,Total
$500,$500,1,House of Representatives,31,Mississippi,2019
"$5,250",$750,7,House of Representatives,31,Mississippi,2018
"$15,172","$5,057",3,House of Representatives,31,Mississippi,2011
"$1,900","$1,900",1,House of Representatives,31,Mississippi,2007
"$2,500","$2,500",1,House of Representatives,31,Mississippi,2003
"$25,322","$1,948",13,House of Representatives,31,Mississippi,Total
"$35,725","$11,908",3,House of Representatives,32,Mississippi,2019
"$34,608","$17,304",2,House of Representatives,32,Mississippi,2011
"$39,372","$19,686",2,House of Representatives,32,Mississippi,2007
"$4,350","$4,350",1,House of Representatives,32,Mississippi,2003
"$114,055","$14,257",8,House of Representatives,32,Mississippi,Total
"$3,500","$3,500",1,House of Representatives,33,Mississippi,2019
"$43,629","$14,543",3,House of Representatives,33,Mississippi,2011
"$4,050","$4,050",1,House of Representatives,33,Mississippi,2007
"$109,008","$54,504",2,House of Representatives,33,Mississippi,2003
"$160,187","$22,884",7,House of Representatives,33,Mississippi,Total
"$43,850","$43,850",1,House of Representatives,34,Mississippi,2019
"$5,593","$5,593",1,House of Representatives,34,Mississippi,2011
"$83,465","$41,733",2,House of Representatives,34,Mississippi,2007
"$2,386","$2,386",1,House of Representatives,34,Mississippi,2003
"$135,294","$27,059",5,House of Representatives,34,Mississippi,Total
"$109,450","$54,725",2,House of Representatives,35,Mississippi,2019
"$58,924","$29,462",2,House of Representatives,35,Mississippi,2011
"$3,050","$3,050",1,House of Representatives,35,Mississippi,2007
"$32,120","$8,030",4,House of Representatives,35,Mississippi,2003
"$203,544","$22,616",9,House of Representatives,35,Mississippi,Total
"$16,051","$5,350",3,House of Representatives,36,Mississippi,2019
"$9,000","$9,000",1,House of Representatives,36,Mississippi,2011
"$13,837","$6,919",2,House of Representatives,36,Mississippi,2007
"$32,603","$16,302",2,House of Representatives,36,Mississippi,2003
"$71,491","$8,936",8,House of Representatives,36,Mississippi,Total
"$62,383","$31,192",2,House of Representatives,37,Mississippi,2019
"$19,475","$19,475",1,House of Representatives,37,Mississippi,2011
"$98,083","$49,042",2,House of Representatives,37,Mississippi,2007
"$38,100","$19,050",2,House of Representatives,37,Mississippi,2003
"$218,041","$31,149",7,House of Representatives,37,Mississippi,Total
"$27,670","$13,835",2,House of Representatives,38,Mississippi,2019
"$24,550","$24,550",1,House of Representatives,38,Mississippi,2011
"$31,274","$31,274",1,House of Representatives,38,Mississippi,2007
"$20,950","$20,950",1,House of Representatives,38,Mississippi,2003
"$104,444","$20,889",5,House of Representatives,38,Mississippi,Total
"$145,100","$72,550",2,House of Representatives,39,Mississippi,2019
"$64,825","$64,825",1,House of Representatives,39,Mississippi,2011
"$127,267","$127,267",1,House of Representatives,39,Mississippi,2007
"$63,906","$31,953",2,House of Representatives,39,Mississippi,2003
"$401,098","$66,850",6,House of Representatives,39,Mississippi,Total
"$31,039","$10,346",3,House of Representatives,40,Mississippi,2019
"$41,534","$20,767",2,House of Representatives,40,Mississippi,2011
"$3,350","$3,350",1,House of Representatives,40,Mississippi,2007
